Student ID,Course,School,Sex,Address Type,Final Grade,Result,Passed,Failed,Risk Score,Risk Band,Segment,Flagged At Risk,Prediction Outcome,Past Failures,Has Past Failure,Absences,Absence Band,Study Time,Wants Higher Education,Extra School Support,Going Out
267,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.5869,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,4 - High
268,Mathematics,Gabriel Pereira,Female,Rural,11,Pass,1,0,0.5569,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,8,5-10,2 - 2 to 5 hours,Yes,No,4 - High
269,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.5637,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,10,5-10,2 - 2 to 5 hours,Yes,No,5 - Very high
270,Mathematics,Gabriel Pereira,Female,Rural,0,Fail,0,1,0.5953,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,0,None (0),2 - 2 to 5 hours,No,No,5 - Very high
271,Mathematics,Gabriel Pereira,Female,Urban,9,Fail,0,1,0.7188,High,D - High-risk repeaters,Yes,True positive (correctly flagged),2,Yes,15,More than 10,2 - 2 to 5 hours,Yes,No,5 - Very high
272,Mathematics,Gabriel Pereira,Female,Urban,14,Pass,1,0,0.5153,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,4,1-4,4 - Over 10 hours,Yes,No,5 - Very high
273,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.5376,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
274,Mathematics,Gabriel Pereira,Male,Rural,14,Pass,1,0,0.4206,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,2 - Low
275,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.4088,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
276,Mathematics,Gabriel Pereira,Female,Urban,12,Pass,1,0,0.6139,High,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,6,5-10,2 - 2 to 5 hours,Yes,Yes,4 - High
277,Mathematics,Gabriel Pereira,Female,Rural,9,Fail,0,1,0.5952,Elevated,D - High-risk repeaters,Yes,True positive (correctly flagged),0,No,75,More than 10,2 - 2 to 5 hours,No,No,1 - Very low
278,Mathematics,Gabriel Pereira,Male,Urban,9,Fail,0,1,0.4907,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,22,More than 10,1 - Under 2 hours,Yes,No,4 - High
279,Mathematics,Gabriel Pereira,Female,Urban,8,Fail,0,1,0.678,High,A - Supported achievers,Yes,True positive (correctly flagged),1,Yes,15,More than 10,2 - 2 to 5 hours,Yes,Yes,4 - High
280,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.3086,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,8,5-10,1 - Under 2 hours,Yes,No,3 - Medium
281,Mathematics,Gabriel Pereira,Male,Urban,8,Fail,0,1,0.5623,Elevated,C - Disengaged social,Yes,True positive (correctly flagged),0,No,30,More than 10,1 - Under 2 hours,Yes,No,4 - High
282,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.665,High,C - Disengaged social,Yes,"False positive (flagged, passed)",1,Yes,19,More than 10,1 - Under 2 hours,Yes,No,4 - High
283,Mathematics,Gabriel Pereira,Female,Rural,12,Pass,1,0,0.4317,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,1,1-4,4 - Over 10 hours,Yes,No,2 - Low
284,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.6116,High,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,Yes,4 - High
285,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.6073,High,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,5 - Very high
286,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.3569,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
287,Mathematics,Gabriel Pereira,Female,Urban,19,Pass,1,0,0.3604,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,5,5-10,3 - 5 to 10 hours,Yes,No,3 - Medium
288,Mathematics,Gabriel Pereira,Female,Urban,12,Pass,1,0,0.4074,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,3 - 5 to 10 hours,Yes,No,3 - Medium
289,Mathematics,Gabriel Pereira,Male,Urban,14,Pass,1,0,0.3017,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,3 - 5 to 10 hours,Yes,No,4 - High
290,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.3903,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,9,5-10,2 - 2 to 5 hours,Yes,No,3 - Medium
291,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.5843,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,11,More than 10,2 - 2 to 5 hours,Yes,No,2 - Low
292,Mathematics,Gabriel Pereira,Female,Urban,15,Pass,1,0,0.3311,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,2 - Low
293,Mathematics,Gabriel Pereira,Female,Urban,13,Pass,1,0,0.5398,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",1,Yes,12,More than 10,2 - 2 to 5 hours,Yes,No,3 - Medium
294,Mathematics,Gabriel Pereira,Female,Rural,18,Pass,1,0,0.3724,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,4 - Over 10 hours,Yes,No,2 - Low
295,Mathematics,Gabriel Pereira,Male,Rural,14,Pass,1,0,0.456,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,8,5-10,3 - 5 to 10 hours,Yes,No,2 - Low
296,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.3309,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,1 - Under 2 hours,Yes,No,3 - Medium
297,Mathematics,Gabriel Pereira,Female,Urban,0,Fail,0,1,0.3995,Moderate,D - High-risk repeaters,No,"False negative (missed, failed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
298,Mathematics,Gabriel Pereira,Female,Urban,8,Fail,0,1,0.5188,Elevated,D - High-risk repeaters,Yes,True positive (correctly flagged),0,No,10,5-10,2 - 2 to 5 hours,Yes,No,5 - Very high
299,Mathematics,Gabriel Pereira,Female,Urban,14,Pass,1,0,0.4102,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),4 - Over 10 hours,Yes,No,3 - Medium
300,Mathematics,Gabriel Pereira,Male,Urban,16,Pass,1,0,0.446,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,5,5-10,1 - Under 2 hours,Yes,No,2 - Low
301,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.512,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,14,More than 10,2 - 2 to 5 hours,Yes,No,4 - High
302,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.2823,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,No,1 - Very low
303,Mathematics,Gabriel Pereira,Female,Urban,14,Pass,1,0,0.4569,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,3 - Medium
304,Mathematics,Gabriel Pereira,Female,Urban,18,Pass,1,0,0.4031,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),4 - Over 10 hours,Yes,No,2 - Low
305,Mathematics,Gabriel Pereira,Male,Urban,13,Pass,1,0,0.6584,High,D - High-risk repeaters,Yes,"False positive (flagged, passed)",1,Yes,20,More than 10,2 - 2 to 5 hours,Yes,No,4 - High
306,Mathematics,Gabriel Pereira,Female,Urban,12,Pass,1,0,0.5832,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",1,Yes,8,5-10,2 - 2 to 5 hours,Yes,No,3 - Medium
307,Mathematics,Gabriel Pereira,Male,Urban,18,Pass,1,0,0.4851,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,No,3 - Medium
308,Mathematics,Gabriel Pereira,Male,Urban,8,Fail,0,1,0.6383,High,D - High-risk repeaters,Yes,True positive (correctly flagged),1,Yes,38,More than 10,1 - Under 2 hours,Yes,No,4 - High
309,Mathematics,Gabriel Pereira,Male,Rural,12,Pass,1,0,0.6766,High,B - Steady middle,Yes,"False positive (flagged, passed)",1,Yes,0,None (0),2 - 2 to 5 hours,Yes,No,3 - Medium
310,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.606,High,D - High-risk repeaters,Yes,"False positive (flagged, passed)",1,Yes,18,More than 10,2 - 2 to 5 hours,Yes,Yes,3 - Medium
311,Mathematics,Gabriel Pereira,Female,Urban,0,Fail,0,1,0.621,High,D - High-risk repeaters,Yes,True positive (correctly flagged),1,Yes,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
312,Mathematics,Gabriel Pereira,Female,Urban,13,Pass,1,0,0.5828,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",0,No,20,More than 10,2 - 2 to 5 hours,No,No,1 - Very low
313,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.6393,High,D - High-risk repeaters,Yes,"False positive (flagged, passed)",1,Yes,3,1-4,2 - 2 to 5 hours,Yes,No,2 - Low
314,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.5321,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",1,Yes,22,More than 10,2 - 2 to 5 hours,Yes,No,2 - Low
315,Mathematics,Gabriel Pereira,Female,Urban,13,Pass,1,0,0.5903,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",2,Yes,14,More than 10,3 - 5 to 10 hours,Yes,No,2 - Low
316,Mathematics,Gabriel Pereira,Female,Rural,11,Pass,1,0,0.574,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",1,Yes,40,More than 10,3 - 5 to 10 hours,Yes,No,2 - Low
317,Mathematics,Gabriel Pereira,Female,Urban,0,Fail,0,1,0.4829,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,0,None (0),2 - 2 to 5 hours,Yes,No,3 - Medium
318,Mathematics,Gabriel Pereira,Female,Urban,9,Fail,0,1,0.5791,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,9,5-10,3 - 5 to 10 hours,Yes,No,4 - High
319,Mathematics,Gabriel Pereira,Female,Rural,10,Pass,1,0,0.4636,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,4 - High
320,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.5158,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,4 - High
321,Mathematics,Gabriel Pereira,Female,Urban,13,Pass,1,0,0.4542,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,23,More than 10,2 - 2 to 5 hours,Yes,No,2 - Low
322,Mathematics,Gabriel Pereira,Female,Urban,9,Fail,0,1,0.381,Moderate,B - Steady middle,No,"False negative (missed, failed)",0,No,12,More than 10,2 - 2 to 5 hours,Yes,No,2 - Low
323,Mathematics,Gabriel Pereira,Female,Rural,11,Pass,1,0,0.3788,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,3,1-4,3 - 5 to 10 hours,Yes,No,2 - Low
324,Mathematics,Gabriel Pereira,Female,Urban,15,Pass,1,0,0.3704,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,1,1-4,3 - 5 to 10 hours,Yes,No,3 - Medium
325,Mathematics,Gabriel Pereira,Female,Urban,15,Pass,1,0,0.3863,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,3 - Medium
326,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.2747,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,3,1-4,3 - 5 to 10 hours,Yes,No,3 - Medium
327,Mathematics,Gabriel Pereira,Male,Urban,16,Pass,1,0,0.484,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,3,1-4,1 - Under 2 hours,Yes,No,5 - Very high
328,Mathematics,Gabriel Pereira,Male,Rural,10,Pass,1,0,0.5363,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,8,5-10,1 - Under 2 hours,Yes,No,5 - Very high
329,Mathematics,Gabriel Pereira,Female,Urban,9,Fail,0,1,0.4389,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,7,5-10,3 - 5 to 10 hours,Yes,No,4 - High
330,Mathematics,Gabriel Pereira,Female,Urban,14,Pass,1,0,0.4663,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,4,1-4,3 - 5 to 10 hours,Yes,No,3 - Medium
331,Mathematics,Gabriel Pereira,Male,Urban,8,Fail,0,1,0.3885,Moderate,C - Disengaged social,No,"False negative (missed, failed)",0,No,2,1-4,4 - Over 10 hours,Yes,No,5 - Very high
332,Mathematics,Gabriel Pereira,Female,Rural,14,Pass,1,0,0.4756,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,7,5-10,3 - 5 to 10 hours,Yes,No,3 - Medium
333,Mathematics,Gabriel Pereira,Female,Urban,0,Fail,0,1,0.5,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
334,Mathematics,Gabriel Pereira,Female,Urban,0,Fail,0,1,0.5576,Elevated,D - High-risk repeaters,Yes,True positive (correctly flagged),0,No,0,None (0),2 - 2 to 5 hours,Yes,No,3 - Medium
335,Mathematics,Gabriel Pereira,Female,Rural,0,Fail,0,1,0.4474,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,0,None (0),4 - Over 10 hours,Yes,No,4 - High
336,Mathematics,Gabriel Pereira,Female,Urban,15,Pass,1,0,0.4811,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,16,More than 10,3 - 5 to 10 hours,Yes,No,5 - Very high
337,Mathematics,Gabriel Pereira,Female,Rural,13,Pass,1,0,0.5629,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",1,Yes,12,More than 10,3 - 5 to 10 hours,Yes,No,3 - Medium
338,Mathematics,Gabriel Pereira,Female,Urban,0,Fail,0,1,0.4375,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,0,None (0),2 - 2 to 5 hours,Yes,No,2 - Low
339,Mathematics,Gabriel Pereira,Female,Urban,17,Pass,1,0,0.3412,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,7,5-10,4 - Over 10 hours,Yes,No,3 - Medium
340,Mathematics,Gabriel Pereira,Female,Rural,10,Pass,1,0,0.5098,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
341,Mathematics,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.629,High,D - High-risk repeaters,Yes,"False positive (flagged, passed)",1,Yes,4,1-4,3 - 5 to 10 hours,Yes,No,4 - High
342,Mathematics,Gabriel Pereira,Male,Urban,0,Fail,0,1,0.5611,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),1,Yes,0,None (0),2 - 2 to 5 hours,Yes,No,3 - Medium
343,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.2108,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,11,More than 10,2 - 2 to 5 hours,Yes,No,3 - Medium
344,Mathematics,Gabriel Pereira,Female,Urban,0,Fail,0,1,0.6961,High,B - Steady middle,Yes,True positive (correctly flagged),1,Yes,0,None (0),2 - 2 to 5 hours,Yes,No,1 - Very low
345,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.4096,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,3 - 5 to 10 hours,Yes,No,3 - Medium
346,Mathematics,Gabriel Pereira,Female,Urban,14,Pass,1,0,0.3374,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,7,5-10,3 - 5 to 10 hours,Yes,No,3 - Medium
347,Mathematics,Gabriel Pereira,Male,Rural,16,Pass,1,0,0.4123,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,9,5-10,3 - 5 to 10 hours,Yes,No,2 - Low
348,Mathematics,Gabriel Pereira,Male,Urban,9,Fail,0,1,0.4961,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,0,None (0),3 - 5 to 10 hours,Yes,No,5 - Very high
349,Mathematics,Gabriel Pereira,Female,Urban,15,Pass,1,0,0.5207,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,3 - Medium
350,Mathematics,Mousinho da Silveira,Male,Rural,13,Pass,1,0,0.6797,High,C - Disengaged social,Yes,"False positive (flagged, passed)",1,Yes,10,5-10,1 - Under 2 hours,Yes,No,5 - Very high
351,Mathematics,Mousinho da Silveira,Male,Rural,8,Fail,0,1,0.7752,High,D - High-risk repeaters,Yes,True positive (correctly flagged),3,Yes,8,5-10,2 - 2 to 5 hours,Yes,No,4 - High
352,Mathematics,Mousinho da Silveira,Male,Urban,13,Pass,1,0,0.4724,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,4 - High
353,Mathematics,Mousinho da Silveira,Male,Urban,8,Fail,0,1,0.7545,High,C - Disengaged social,Yes,True positive (correctly flagged),1,Yes,7,5-10,1 - Under 2 hours,No,No,3 - Medium
354,Mathematics,Mousinho da Silveira,Male,Rural,8,Fail,0,1,0.7676,High,D - High-risk repeaters,Yes,True positive (correctly flagged),1,Yes,4,1-4,1 - Under 2 hours,Yes,No,4 - High
355,Mathematics,Mousinho da Silveira,Male,Rural,11,Pass,1,0,0.3926,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,5 - Very high
356,Mathematics,Mousinho da Silveira,Female,Urban,9,Fail,0,1,0.5529,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
357,Mathematics,Mousinho da Silveira,Female,Rural,13,Pass,1,0,0.3355,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
358,Mathematics,Mousinho da Silveira,Female,Urban,11,Pass,1,0,0.4468,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
359,Mathematics,Mousinho da Silveira,Male,Urban,10,Pass,1,0,0.4441,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,4,1-4,1 - Under 2 hours,Yes,No,2 - Low
360,Mathematics,Mousinho da Silveira,Female,Urban,16,Pass,1,0,0.4589,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,2 - Low
361,Mathematics,Mousinho da Silveira,Female,Rural,13,Pass,1,0,0.5204,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
362,Mathematics,Mousinho da Silveira,Male,Rural,12,Pass,1,0,0.7436,High,C - Disengaged social,Yes,"False positive (flagged, passed)",1,Yes,2,1-4,2 - 2 to 5 hours,No,No,3 - Medium
363,Mathematics,Mousinho da Silveira,Female,Urban,10,Pass,1,0,0.5458,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,2 - Low
364,Mathematics,Mousinho da Silveira,Female,Urban,15,Pass,1,0,0.5111,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
365,Mathematics,Mousinho da Silveira,Female,Rural,12,Pass,1,0,0.4129,Elevated,B - Steady middle,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,2 - Low
366,Mathematics,Mousinho da Silveira,Male,Rural,10,Pass,1,0,0.5525,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,4 - High
367,Mathematics,Mousinho da Silveira,Male,Urban,13,Pass,1,0,0.3789,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,2 - Low
368,Mathematics,Mousinho da Silveira,Female,Rural,0,Fail,0,1,0.5992,Elevated,B - Steady middle,Yes,True positive (correctly flagged),1,Yes,0,None (0),1 - Under 2 hours,Yes,No,1 - Very low
369,Mathematics,Mousinho da Silveira,Female,Urban,10,Pass,1,0,0.5302,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,No,3 - Medium
370,Mathematics,Mousinho da Silveira,Female,Rural,11,Pass,1,0,0.538,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,10,5-10,2 - 2 to 5 hours,Yes,No,2 - Low
371,Mathematics,Mousinho da Silveira,Female,Urban,9,Fail,0,1,0.5537,Elevated,D - High-risk repeaters,Yes,True positive (correctly flagged),2,Yes,4,1-4,2 - 2 to 5 hours,Yes,No,2 - Low
372,Mathematics,Mousinho da Silveira,Male,Rural,12,Pass,1,0,0.5866,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,3,1-4,1 - Under 2 hours,No,No,3 - Medium
373,Mathematics,Mousinho da Silveira,Female,Urban,11,Pass,1,0,0.5021,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,8,5-10,3 - 5 to 10 hours,Yes,No,3 - Medium
374,Mathematics,Mousinho da Silveira,Female,Rural,5,Fail,0,1,0.5316,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,14,More than 10,1 - Under 2 hours,Yes,No,5 - Very high
375,Mathematics,Mousinho da Silveira,Female,Rural,19,Pass,1,0,0.392,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,4 - High
376,Mathematics,Mousinho da Silveira,Female,Rural,10,Pass,1,0,0.4118,Elevated,B - Steady middle,No,"True negative (not flagged, passed)",0,No,2,1-4,3 - 5 to 10 hours,Yes,No,2 - Low
377,Mathematics,Mousinho da Silveira,Female,Urban,15,Pass,1,0,0.5502,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",2,Yes,4,1-4,3 - 5 to 10 hours,Yes,No,3 - Medium
378,Mathematics,Mousinho da Silveira,Female,Rural,10,Pass,1,0,0.5477,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
379,Mathematics,Mousinho da Silveira,Female,Urban,15,Pass,1,0,0.4676,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,3 - Medium
380,Mathematics,Mousinho da Silveira,Female,Rural,10,Pass,1,0,0.6279,High,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,17,More than 10,2 - 2 to 5 hours,Yes,No,4 - High
381,Mathematics,Mousinho da Silveira,Male,Urban,14,Pass,1,0,0.4503,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,4 - High
382,Mathematics,Mousinho da Silveira,Male,Rural,7,Fail,0,1,0.5316,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,5,5-10,1 - Under 2 hours,Yes,No,3 - Medium
383,Mathematics,Mousinho da Silveira,Male,Urban,10,Pass,1,0,0.322,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
384,Mathematics,Mousinho da Silveira,Male,Rural,0,Fail,0,1,0.7184,High,B - Steady middle,Yes,True positive (correctly flagged),1,Yes,0,None (0),1 - Under 2 hours,Yes,No,2 - Low
385,Mathematics,Mousinho da Silveira,Male,Rural,5,Fail,0,1,0.6511,High,C - Disengaged social,Yes,True positive (correctly flagged),1,Yes,14,More than 10,1 - Under 2 hours,Yes,No,3 - Medium
386,Mathematics,Mousinho da Silveira,Female,Rural,10,Pass,1,0,0.3808,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,2,1-4,3 - 5 to 10 hours,Yes,No,3 - Medium
387,Mathematics,Mousinho da Silveira,Female,Rural,6,Fail,0,1,0.4581,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,7,5-10,1 - Under 2 hours,Yes,No,3 - Medium
388,Mathematics,Mousinho da Silveira,Female,Rural,0,Fail,0,1,0.5578,Elevated,B - Steady middle,Yes,True positive (correctly flagged),1,Yes,0,None (0),3 - 5 to 10 hours,Yes,No,2 - Low
389,Mathematics,Mousinho da Silveira,Female,Urban,8,Fail,0,1,0.5427,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
390,Mathematics,Mousinho da Silveira,Female,Urban,0,Fail,0,1,0.6678,High,B - Steady middle,Yes,True positive (correctly flagged),1,Yes,0,None (0),2 - 2 to 5 hours,Yes,No,1 - Very low
391,Mathematics,Mousinho da Silveira,Male,Urban,9,Fail,0,1,0.6619,High,D - High-risk repeaters,Yes,True positive (correctly flagged),2,Yes,11,More than 10,2 - 2 to 5 hours,Yes,No,4 - High
392,Mathematics,Mousinho da Silveira,Male,Urban,16,Pass,1,0,0.4763,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,3,1-4,1 - Under 2 hours,Yes,No,5 - Very high
393,Mathematics,Mousinho da Silveira,Male,Rural,7,Fail,0,1,0.7183,High,D - High-risk repeaters,Yes,True positive (correctly flagged),3,Yes,3,1-4,1 - Under 2 hours,Yes,No,3 - Medium
394,Mathematics,Mousinho da Silveira,Male,Rural,10,Pass,1,0,0.4485,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,No,1 - Very low
395,Mathematics,Mousinho da Silveira,Male,Urban,9,Fail,0,1,0.4684,Elevated,C - Disengaged social,Yes,True positive (correctly flagged),0,No,5,5-10,1 - Under 2 hours,Yes,No,3 - Medium
396,Portuguese,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.221,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,Yes,4 - High
397,Portuguese,Gabriel Pereira,Female,Urban,11,Pass,1,0,0.227,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
